Variable,Outcome Class,Count,Mean,St. Dev.,Median,95% CI Lower,95% CI Upper,Min,Max,Skew,Kurtosis
Average_Number_of_Drinks_30_Days,0.0,"192,599",2.17,2.25,2.0,2.16,2.18,0.0,76.0,9.12,173.88
Average_Number_of_Drinks_30_Days,1.0,"14,504",3.44,3.8,3.0,3.38,3.5,0.0,76.0,8.37,123.86
Average_Number_of_Drinks_30_Days,,610,2.64,2.77,2.0,2.42,2.86,0.0,30.0,4.46,29.55
BMI,0.0,"375,218",28.59,6.54,27.44,28.57,28.61,12.0,99.84,1.41,4.67
BMI,1.0,"23,558",28.31,7.16,27.12,28.22,28.4,12.4,94.61,1.39,4.13
BMI,,"15,857",28.1,6.64,27.12,28.0,28.21,12.05,94.94,1.73,7.35
Number_of_Children,0.0,"397,669",0.47,1.11,0.0,0.46,0.47,0.0,83.0,16.79,1056.8
Number_of_Children,1.0,"24,380",0.7,1.17,0.0,0.68,0.71,0.0,22.0,2.83,20.07
Number_of_Children,,"26,242",0.55,1.44,0.0,0.53,0.57,0.0,82.0,22.78,1170.47
Marijuana_Use_30_Days,0.0,"128,346",2.0,6.79,0.0,1.97,2.04,0.0,30.0,3.54,11.12
Marijuana_Use_30_Days,1.0,"7,038",8.75,12.41,0.0,8.46,9.04,0.0,30.0,0.94,-0.93
Marijuana_Use_30_Days,,497,2.7,7.64,0.0,2.03,3.37,0.0,30.0,2.95,7.32
Poor_Mental_Health_Days_Last_Month,0.0,"393,732",4.13,8.08,0.0,4.1,4.15,0.0,30.0,2.23,3.93
Poor_Mental_Health_Days_Last_Month,1.0,"24,050",9.39,10.9,5.0,9.25,9.53,0.0,30.0,0.9,-0.68
Poor_Mental_Health_Days_Last_Month,,"31,732",4.19,8.36,0.0,4.1,4.28,0.0,30.0,2.18,3.59
Poor_Physical_Health_Days_Last_Month,0.0,"391,141",4.56,8.9,0.0,4.53,4.59,0.0,30.0,2.09,3.01
Poor_Physical_Health_Days_Last_Month,1.0,"24,043",5.47,9.3,0.0,5.35,5.59,0.0,30.0,1.8,1.87
Poor_Physical_Health_Days_Last_Month,,"31,419",4.52,8.95,0.0,4.42,4.61,0.0,30.0,2.09,2.96
Sugar_Soda_Drinks_Per_Day,0.0,"13,945",2.37,6.65,1.0,2.26,2.48,1.0,99.0,12.57,174.15
Sugar_Soda_Drinks_Per_Day,1.0,"1,583",2.9,7.28,2.0,2.54,3.26,1.0,99.0,10.71,132.18
Sugar_Soda_Drinks_Per_Day,,74,1.81,1.29,1.0,1.52,2.1,1.0,7.0,2.06,4.29
Sugar_Soda_Drinks_Per_Week,0.0,"34,068",-38.79,49.21,1.0,-39.31,-38.27,-99.0,99.0,-0.37,-1.84
Sugar_Soda_Drinks_Per_Week,1.0,"3,110",-48.23,50.06,-82.0,-49.99,-46.47,-99.0,30.0,0.02,-1.99
Sugar_Soda_Drinks_Per_Week,,165,-42.95,49.98,1.0,-50.58,-35.32,-99.0,9.0,-0.21,-1.98
Sugar_Soda_Drinks_Per_Month,0.0,"56,441",-82.07,79.91,-98.0,-82.73,-81.42,-199.0,99.0,-0.24,-1.32
Sugar_Soda_Drinks_Per_Month,1.0,"4,475",-100.96,82.89,-98.0,-103.39,-98.53,-199.0,99.0,0.13,-1.41
Sugar_Soda_Drinks_Per_Month,,240,-96.68,80.41,-99.0,-106.85,-86.5,-199.0,30.0,0.03,-1.37
Non_Soda_Sugar_Drinks_Per_Day,0.0,"10,894",2.31,6.57,1.0,2.19,2.44,1.0,99.0,12.6,176.5
Non_Soda_Sugar_Drinks_Per_Day,1.0,"1,265",2.89,7.69,2.0,2.46,3.31,1.0,99.0,9.99,115.8
Non_Soda_Sugar_Drinks_Per_Day,,64,3.27,12.23,1.0,0.27,6.26,1.0,99.0,7.86,62.44
Non_Soda_Sugar_Drinks_Per_Week,0.0,"27,981",-36.77,48.84,1.0,-37.35,-36.2,-99.0,99.0,-0.46,-1.78
Non_Soda_Sugar_Drinks_Per_Week,1.0,"2,803",-42.44,49.91,1.0,-44.28,-40.59,-99.0,60.0,-0.21,-1.94
Non_Soda_Sugar_Drinks_Per_Week,,152,-39.59,49.54,1.0,-47.46,-31.71,-99.0,7.0,-0.35,-1.9
Non_Soda_Sugar_Drinks_Per_Month,0.0,"45,160",-82.79,79.07,-98.0,-83.52,-82.06,-199.0,99.0,-0.21,-1.28
Non_Soda_Sugar_Drinks_Per_Month,1.0,"4,091",-95.17,81.26,-98.0,-97.66,-92.68,-199.0,99.0,0.04,-1.34
Non_Soda_Sugar_Drinks_Per_Month,,206,-100.67,78.46,-99.0,-111.38,-89.95,-199.0,99.0,0.18,-1.08
