Variable,Count,Mean,St. Dev.,Median,95% CI Lower,95% CI Upper,Min,Max,Skew,Kurtosis
Average_Number_of_Drinks_30_Days,"207,713",2.26,2.42,2.0,2.25,2.27,0.0,76.0,9.31,178.85
BMI,"414,633",28.56,6.59,27.44,28.54,28.58,12.0,99.84,1.42,4.74
Number_of_Children,"448,291",0.48,1.14,0.0,0.48,0.49,0.0,83.0,16.75,1028.58
Marijuana_Use_30_Days,"135,881",2.35,7.34,0.0,2.32,2.39,0.0,30.0,3.19,8.68
Poor_Mental_Health_Days_Last_Month,"449,514",4.41,8.36,0.0,4.39,4.44,0.0,30.0,2.11,3.33
Poor_Physical_Health_Days_Last_Month,"446,603",4.61,8.93,0.0,4.58,4.63,0.0,30.0,2.08,2.93
Sugar_Soda_Drinks_Per_Day,"15,602",2.42,6.7,1.0,2.31,2.52,1.0,99.0,12.36,169.41
Sugar_Soda_Drinks_Per_Week,"37,343",-39.6,49.35,1.0,-40.1,-39.1,-99.0,99.0,-0.34,-1.87
Sugar_Soda_Drinks_Per_Month,"61,156",-83.51,80.29,-98.0,-84.15,-82.88,-199.0,99.0,-0.21,-1.34
Non_Soda_Sugar_Drinks_Per_Day,"12,223",2.38,6.74,1.0,2.26,2.5,1.0,99.0,12.2,165.95
Non_Soda_Sugar_Drinks_Per_Week,"30,936",-37.3,48.97,1.0,-37.85,-36.76,-99.0,99.0,-0.43,-1.8
Non_Soda_Sugar_Drinks_Per_Month,"49,457",-83.89,79.33,-98.0,-84.59,-83.19,-199.0,99.0,-0.19,-1.3
